Date,Year,Month,Month_Name,Commodity,Region,District,SARIMA_Forecast,SARIMAX_Forecast,Blended_Forecast,Lower_95CI,Upper_95CI,Forecast_Month
2026-01-01,2026,1,Jan,Maize,Central,Kampala,1098.0,1113.0,1107.0,1018.0,1196.0,Jan 2026
2026-02-01,2026,2,Feb,Maize,Central,Kampala,1046.0,1088.0,1071.0,985.0,1157.0,Feb 2026
2026-03-01,2026,3,Mar,Maize,Central,Kampala,1278.0,1301.0,1292.0,1189.0,1395.0,Mar 2026
2026-04-01,2026,4,Apr,Maize,Central,Kampala,1350.0,1378.0,1367.0,1258.0,1476.0,Apr 2026
2026-05-01,2026,5,May,Maize,Central,Kampala,1414.0,1454.0,1438.0,1323.0,1553.0,May 2026
2026-06-01,2026,6,Jun,Maize,Central,Kampala,1343.0,1366.0,1357.0,1248.0,1466.0,Jun 2026
2026-07-01,2026,7,Jul,Maize,Central,Kampala,1233.0,1255.0,1246.0,1146.0,1346.0,Jul 2026
2026-08-01,2026,8,Aug,Maize,Central,Kampala,1008.0,1024.0,1018.0,937.0,1099.0,Aug 2026
2026-09-01,2026,9,Sep,Maize,Central,Kampala,967.0,997.0,985.0,906.0,1064.0,Sep 2026
2026-10-01,2026,10,Oct,Maize,Central,Kampala,1231.0,1279.0,1260.0,1159.0,1361.0,Oct 2026
2026-11-01,2026,11,Nov,Maize,Central,Kampala,1290.0,1330.0,1314.0,1209.0,1419.0,Nov 2026
2026-12-01,2026,12,Dec,Maize,Central,Kampala,1130.0,1153.0,1144.0,1052.0,1236.0,Dec 2026
2026-01-01,2026,1,Jan,Maize,Central,Natete,1054.0,1072.0,1065.0,980.0,1150.0,Jan 2026
2026-02-01,2026,2,Feb,Maize,Central,Natete,1029.0,1051.0,1042.0,959.0,1125.0,Feb 2026
2026-03-01,2026,3,Mar,Maize,Central,Natete,1202.0,1235.0,1222.0,1124.0,1320.0,Mar 2026
2026-04-01,2026,4,Apr,Maize,Central,Natete,1264.0,1304.0,1288.0,1185.0,1391.0,Apr 2026
2026-05-01,2026,5,May,Maize,Central,Natete,1321.0,1355.0,1341.0,1234.0,1448.0,May 2026
2026-06-01,2026,6,Jun,Maize,Central,Natete,1276.0,1294.0,1287.0,1184.0,1390.0,Jun 2026
2026-07-01,2026,7,Jul,Maize,Central,Natete,1173.0,1186.0,1181.0,1087.0,1275.0,Jul 2026
2026-08-01,2026,8,Aug,Maize,Central,Natete,963.0,997.0,983.0,904.0,1062.0,Aug 2026
2026-09-01,2026,9,Sep,Maize,Central,Natete,930.0,961.0,949.0,873.0,1025.0,Sep 2026
2026-10-01,2026,10,Oct,Maize,Central,Natete,1165.0,1193.0,1182.0,1087.0,1277.0,Oct 2026
2026-11-01,2026,11,Nov,Maize,Central,Natete,1253.0,1285.0,1272.0,1170.0,1374.0,Nov 2026
2026-12-01,2026,12,Dec,Maize,Central,Natete,1083.0,1121.0,1106.0,1018.0,1194.0,Dec 2026
2026-01-01,2026,1,Jan,Maize,Central,Luwero,955.0,972.0,965.0,888.0,1042.0,Jan 2026
2026-02-01,2026,2,Feb,Maize,Central,Luwero,906.0,921.0,915.0,842.0,988.0,Feb 2026
2026-03-01,2026,3,Mar,Maize,Central,Luwero,1064.0,1078.0,1072.0,986.0,1158.0,Mar 2026
2026-04-01,2026,4,Apr,Maize,Central,Luwero,1142.0,1184.0,1167.0,1074.0,1260.0,Apr 2026
2026-05-01,2026,5,May,Maize,Central,Luwero,1183.0,1199.0,1193.0,1098.0,1288.0,May 2026
2026-06-01,2026,6,Jun,Maize,Central,Luwero,1108.0,1140.0,1127.0,1037.0,1217.0,Jun 2026
2026-07-01,2026,7,Jul,Maize,Central,Luwero,1058.0,1079.0,1071.0,985.0,1157.0,Jul 2026
2026-08-01,2026,8,Aug,Maize,Central,Luwero,865.0,897.0,884.0,813.0,955.0,Aug 2026
2026-09-01,2026,9,Sep,Maize,Central,Luwero,811.0,823.0,818.0,753.0,883.0,Sep 2026
2026-10-01,2026,10,Oct,Maize,Central,Luwero,1038.0,1063.0,1053.0,969.0,1137.0,Oct 2026
2026-11-01,2026,11,Nov,Maize,Central,Luwero,1092.0,1121.0,1109.0,1020.0,1198.0,Nov 2026
2026-12-01,2026,12,Dec,Maize,Central,Luwero,978.0,1014.0,1000.0,920.0,1080.0,Dec 2026
2026-01-01,2026,1,Jan,Maize,Central,Kayunga,907.0,932.0,922.0,848.0,996.0,Jan 2026
2026-02-01,2026,2,Feb,Maize,Central,Kayunga,874.0,900.0,890.0,819.0,961.0,Feb 2026
2026-03-01,2026,3,Mar,Maize,Central,Kayunga,1064.0,1082.0,1075.0,989.0,1161.0,Mar 2026
2026-04-01,2026,4,Apr,Maize,Central,Kayunga,1140.0,1168.0,1157.0,1064.0,1250.0,Apr 2026
2026-05-01,2026,5,May,Maize,Central,Kayunga,1154.0,1193.0,1177.0,1083.0,1271.0,May 2026
2026-06-01,2026,6,Jun,Maize,Central,Kayunga,1092.0,1122.0,1110.0,1021.0,1199.0,Jun 2026
2026-07-01,2026,7,Jul,Maize,Central,Kayunga,1010.0,1022.0,1017.0,936.0,1098.0,Jul 2026
2026-08-01,2026,8,Aug,Maize,Central,Kayunga,845.0,858.0,853.0,785.0,921.0,Aug 2026
2026-09-01,2026,9,Sep,Maize,Central,Kayunga,801.0,820.0,812.0,747.0,877.0,Sep 2026
2026-10-01,2026,10,Oct,Maize,Central,Kayunga,1002.0,1022.0,1014.0,933.0,1095.0,Oct 2026
2026-11-01,2026,11,Nov,Maize,Central,Kayunga,1078.0,1106.0,1095.0,1007.0,1183.0,Nov 2026
2026-12-01,2026,12,Dec,Maize,Central,Kayunga,956.0,975.0,967.0,890.0,1044.0,Dec 2026
2026-01-01,2026,1,Jan,Maize,Central,Gomba,897.0,915.0,908.0,835.0,981.0,Jan 2026
2026-02-01,2026,2,Feb,Maize,Central,Gomba,847.0,857.0,853.0,785.0,921.0,Feb 2026
2026-03-01,2026,3,Mar,Maize,Central,Gomba,1009.0,1043.0,1029.0,947.0,1111.0,Mar 2026
2026-04-01,2026,4,Apr,Maize,Central,Gomba,1061.0,1072.0,1068.0,983.0,1153.0,Apr 2026
2026-05-01,2026,5,May,Maize,Central,Gomba,1126.0,1137.0,1133.0,1042.0,1224.0,May 2026
2026-06-01,2026,6,Jun,Maize,Central,Gomba,1041.0,1080.0,1064.0,979.0,1149.0,Jun 2026
2026-07-01,2026,7,Jul,Maize,Central,Gomba,962.0,996.0,982.0,903.0,1061.0,Jul 2026
2026-08-01,2026,8,Aug,Maize,Central,Gomba,822.0,846.0,836.0,769.0,903.0,Aug 2026
2026-09-01,2026,9,Sep,Maize,Central,Gomba,764.0,779.0,773.0,711.0,835.0,Sep 2026
2026-10-01,2026,10,Oct,Maize,Central,Gomba,962.0,998.0,984.0,905.0,1063.0,Oct 2026
2026-11-01,2026,11,Nov,Maize,Central,Gomba,1044.0,1061.0,1054.0,970.0,1138.0,Nov 2026
2026-12-01,2026,12,Dec,Maize,Central,Gomba,907.0,932.0,922.0,848.0,996.0,Dec 2026
2026-01-01,2026,1,Jan,Maize,Western,Mubende,928.0,944.0,938.0,863.0,1013.0,Jan 2026
2026-02-01,2026,2,Feb,Maize,Western,Mubende,889.0,912.0,903.0,831.0,975.0,Feb 2026
2026-03-01,2026,3,Mar,Maize,Western,Mubende,1069.0,1111.0,1094.0,1006.0,1182.0,Mar 2026
2026-04-01,2026,4,Apr,Maize,Western,Mubende,1132.0,1168.0,1154.0,1062.0,1246.0,Apr 2026
2026-05-01,2026,5,May,Maize,Western,Mubende,1174.0,1198.0,1188.0,1093.0,1283.0,May 2026
2026-06-01,2026,6,Jun,Maize,Western,Mubende,1114.0,1129.0,1123.0,1033.0,1213.0,Jun 2026
2026-07-01,2026,7,Jul,Maize,Western,Mubende,1060.0,1095.0,1081.0,995.0,1167.0,Jul 2026
2026-08-01,2026,8,Aug,Maize,Western,Mubende,853.0,869.0,863.0,794.0,932.0,Aug 2026
2026-09-01,2026,9,Sep,Maize,Western,Mubende,820.0,847.0,836.0,769.0,903.0,Sep 2026
2026-10-01,2026,10,Oct,Maize,Western,Mubende,1058.0,1093.0,1079.0,993.0,1165.0,Oct 2026
2026-11-01,2026,11,Nov,Maize,Western,Mubende,1122.0,1159.0,1144.0,1052.0,1236.0,Nov 2026
2026-12-01,2026,12,Dec,Maize,Western,Mubende,951.0,971.0,963.0,886.0,1040.0,Dec 2026
2026-01-01,2026,1,Jan,Maize,Western,Hoima,982.0,996.0,990.0,911.0,1069.0,Jan 2026
2026-02-01,2026,2,Feb,Maize,Western,Hoima,921.0,957.0,943.0,868.0,1018.0,Feb 2026
2026-03-01,2026,3,Mar,Maize,Western,Hoima,1124.0,1141.0,1134.0,1043.0,1225.0,Mar 2026
2026-04-01,2026,4,Apr,Maize,Western,Hoima,1160.0,1205.0,1187.0,1092.0,1282.0,Apr 2026
2026-05-01,2026,5,May,Maize,Western,Hoima,1220.0,1248.0,1237.0,1138.0,1336.0,May 2026
2026-06-01,2026,6,Jun,Maize,Western,Hoima,1172.0,1207.0,1193.0,1098.0,1288.0,Jun 2026
2026-07-01,2026,7,Jul,Maize,Western,Hoima,1078.0,1096.0,1089.0,1002.0,1176.0,Jul 2026
2026-08-01,2026,8,Aug,Maize,Western,Hoima,891.0,914.0,905.0,833.0,977.0,Aug 2026
2026-09-01,2026,9,Sep,Maize,Western,Hoima,835.0,856.0,848.0,780.0,916.0,Sep 2026
2026-10-01,2026,10,Oct,Maize,Western,Hoima,1080.0,1114.0,1100.0,1012.0,1188.0,Oct 2026
2026-11-01,2026,11,Nov,Maize,Western,Hoima,1140.0,1171.0,1159.0,1066.0,1252.0,Nov 2026
2026-12-01,2026,12,Dec,Maize,Western,Hoima,995.0,1013.0,1006.0,926.0,1086.0,Dec 2026
2026-01-01,2026,1,Jan,Maize,Western,Masindi,969.0,997.0,986.0,907.0,1065.0,Jan 2026
2026-02-01,2026,2,Feb,Maize,Western,Masindi,921.0,944.0,935.0,860.0,1010.0,Feb 2026
2026-03-01,2026,3,Mar,Maize,Western,Masindi,1081.0,1097.0,1091.0,1004.0,1178.0,Mar 2026
2026-04-01,2026,4,Apr,Maize,Western,Masindi,1156.0,1198.0,1181.0,1087.0,1275.0,Apr 2026
2026-05-01,2026,5,May,Maize,Western,Masindi,1180.0,1210.0,1198.0,1102.0,1294.0,May 2026
2026-06-01,2026,6,Jun,Maize,Western,Masindi,1116.0,1156.0,1140.0,1049.0,1231.0,Jun 2026
2026-07-01,2026,7,Jul,Maize,Western,Masindi,1046.0,1067.0,1059.0,974.0,1144.0,Jul 2026
2026-08-01,2026,8,Aug,Maize,Western,Masindi,862.0,879.0,872.0,802.0,942.0,Aug 2026
2026-09-01,2026,9,Sep,Maize,Western,Masindi,829.0,841.0,836.0,769.0,903.0,Sep 2026
2026-10-01,2026,10,Oct,Maize,Western,Masindi,1047.0,1079.0,1066.0,981.0,1151.0,Oct 2026
2026-11-01,2026,11,Nov,Maize,Western,Masindi,1133.0,1166.0,1153.0,1061.0,1245.0,Nov 2026
2026-12-01,2026,12,Dec,Maize,Western,Masindi,993.0,1010.0,1003.0,923.0,1083.0,Dec 2026
2026-01-01,2026,1,Jan,Maize,Western,Kibaale,887.0,905.0,898.0,826.0,970.0,Jan 2026
2026-02-01,2026,2,Feb,Maize,Western,Kibaale,855.0,882.0,871.0,801.0,941.0,Feb 2026
2026-03-01,2026,3,Mar,Maize,Western,Kibaale,1012.0,1047.0,1033.0,950.0,1116.0,Mar 2026
2026-04-01,2026,4,Apr,Maize,Western,Kibaale,1074.0,1100.0,1090.0,1003.0,1177.0,Apr 2026
2026-05-01,2026,5,May,Maize,Western,Kibaale,1134.0,1156.0,1147.0,1055.0,1239.0,May 2026
2026-06-01,2026,6,Jun,Maize,Western,Kibaale,1069.0,1095.0,1085.0,998.0,1172.0,Jun 2026
2026-07-01,2026,7,Jul,Maize,Western,Kibaale,977.0,1000.0,991.0,912.0,1070.0,Jul 2026
2026-08-01,2026,8,Aug,Maize,Western,Kibaale,824.0,849.0,839.0,772.0,906.0,Aug 2026
2026-09-01,2026,9,Sep,Maize,Western,Kibaale,786.0,801.0,795.0,731.0,859.0,Sep 2026
2026-10-01,2026,10,Oct,Maize,Western,Kibaale,997.0,1019.0,1010.0,929.0,1091.0,Oct 2026
2026-11-01,2026,11,Nov,Maize,Western,Kibaale,1045.0,1083.0,1068.0,983.0,1153.0,Nov 2026
2026-12-01,2026,12,Dec,Maize,Western,Kibaale,918.0,947.0,935.0,860.0,1010.0,Dec 2026
2026-01-01,2026,1,Jan,Maize,Western,Kyegegwa,906.0,931.0,921.0,847.0,995.0,Jan 2026
2026-02-01,2026,2,Feb,Maize,Western,Kyegegwa,876.0,885.0,881.0,811.0,951.0,Feb 2026
2026-03-01,2026,3,Mar,Maize,Western,Kyegegwa,1037.0,1057.0,1049.0,965.0,1133.0,Mar 2026
2026-04-01,2026,4,Apr,Maize,Western,Kyegegwa,1088.0,1126.0,1111.0,1022.0,1200.0,Apr 2026
2026-05-01,2026,5,May,Maize,Western,Kyegegwa,1136.0,1149.0,1144.0,1052.0,1236.0,May 2026
2026-06-01,2026,6,Jun,Maize,Western,Kyegegwa,1100.0,1116.0,1110.0,1021.0,1199.0,Jun 2026
2026-07-01,2026,7,Jul,Maize,Western,Kyegegwa,999.0,1028.0,1016.0,935.0,1097.0,Jul 2026
2026-08-01,2026,8,Aug,Maize,Western,Kyegegwa,831.0,850.0,842.0,775.0,909.0,Aug 2026
2026-09-01,2026,9,Sep,Maize,Western,Kyegegwa,784.0,805.0,797.0,733.0,861.0,Sep 2026
2026-10-01,2026,10,Oct,Maize,Western,Kyegegwa,1016.0,1033.0,1026.0,944.0,1108.0,Oct 2026
2026-11-01,2026,11,Nov,Maize,Western,Kyegegwa,1041.0,1063.0,1054.0,970.0,1138.0,Nov 2026
2026-12-01,2026,12,Dec,Maize,Western,Kyegegwa,934.0,971.0,956.0,880.0,1032.0,Dec 2026
2026-01-01,2026,1,Jan,Maize,Western,Kasese,943.0,967.0,957.0,880.0,1034.0,Jan 2026
2026-02-01,2026,2,Feb,Maize,Western,Kasese,882.0,900.0,893.0,822.0,964.0,Feb 2026
2026-03-01,2026,3,Mar,Maize,Western,Kasese,1058.0,1082.0,1072.0,986.0,1158.0,Mar 2026
2026-04-01,2026,4,Apr,Maize,Western,Kasese,1136.0,1157.0,1149.0,1057.0,1241.0,Apr 2026
2026-05-01,2026,5,May,Maize,Western,Kasese,1156.0,1182.0,1172.0,1078.0,1266.0,May 2026
2026-06-01,2026,6,Jun,Maize,Western,Kasese,1138.0,1160.0,1151.0,1059.0,1243.0,Jun 2026
2026-07-01,2026,7,Jul,Maize,Western,Kasese,1029.0,1044.0,1038.0,955.0,1121.0,Jul 2026
2026-08-01,2026,8,Aug,Maize,Western,Kasese,859.0,881.0,872.0,802.0,942.0,Aug 2026
2026-09-01,2026,9,Sep,Maize,Western,Kasese,814.0,844.0,832.0,765.0,899.0,Sep 2026
2026-10-01,2026,10,Oct,Maize,Western,Kasese,1020.0,1058.0,1043.0,960.0,1126.0,Oct 2026
2026-11-01,2026,11,Nov,Maize,Western,Kasese,1093.0,1108.0,1102.0,1014.0,1190.0,Nov 2026
2026-12-01,2026,12,Dec,Maize,Western,Kasese,959.0,988.0,976.0,898.0,1054.0,Dec 2026
2026-01-01,2026,1,Jan,Maize,Western,Mutukula,1013.0,1049.0,1035.0,952.0,1118.0,Jan 2026
2026-02-01,2026,2,Feb,Maize,Western,Mutukula,959.0,979.0,971.0,893.0,1049.0,Feb 2026
2026-03-01,2026,3,Mar,Maize,Western,Mutukula,1192.0,1228.0,1214.0,1117.0,1311.0,Mar 2026
