Commodity,District,Region,Year,Month,Month_Name,Quarter,Season,Avg_Monthly_Price,Date
Barley,Kabale,Western,2024,1,Jan,Q1,Post-Harvest,1662,01/01/2024
Barley,Kabale,Western,2024,2,Feb,Q1,Post-Harvest,1627,01/02/2024
Barley,Kabale,Western,2024,3,Mar,Q1,Lean Season,1580,01/03/2024
Barley,Kabale,Western,2024,4,Apr,Q2,Lean Season,1549,01/04/2024
Barley,Kabale,Western,2024,5,May,Q2,Lean Season,1463,01/05/2024
Barley,Kabale,Western,2024,6,Jun,Q2,Lean Season,1441,01/06/2024
Barley,Kabale,Western,2024,7,Jul,Q3,Early Harvest,1486,01/07/2024
Barley,Kabale,Western,2024,8,Aug,Q3,Early Harvest,1594,01/08/2024
Barley,Kabale,Western,2024,9,Sep,Q3,Early Harvest,1675,01/09/2024
Barley,Kabale,Western,2024,10,Oct,Q4,Peak Lean,1742,01/10/2024
Barley,Kabale,Western,2024,11,Nov,Q4,Post-Harvest,1769,01/11/2024
Barley,Kabale,Western,2024,12,Dec,Q4,Post-Harvest,1756,01/12/2024
Barley,Kabale,Western,2025,1,Jan,Q1,Post-Harvest,1722,01/01/2025
Barley,Kabale,Western,2025,2,Feb,Q1,Post-Harvest,1719,01/02/2025
Barley,Kabale,Western,2025,3,Mar,Q1,Lean Season,1685,01/03/2025
Barley,Kabale,Western,2025,4,Apr,Q2,Lean Season,1615,01/04/2025
Barley,Kabale,Western,2025,5,May,Q2,Lean Season,1524,01/05/2025
Barley,Kabale,Western,2025,6,Jun,Q2,Lean Season,1503,01/06/2025
Barley,Kabale,Western,2025,7,Jul,Q3,Early Harvest,1586,01/07/2025
Barley,Kabale,Western,2025,8,Aug,Q3,Early Harvest,1704,01/08/2025
Barley,Kabale,Western,2025,9,Sep,Q3,Early Harvest,1749,01/09/2025
Barley,Kabale,Western,2025,10,Oct,Q4,Peak Lean,1813,01/10/2025
Barley,Kabale,Western,2025,11,Nov,Q4,Post-Harvest,1873,01/11/2025
Barley,Kabale,Western,2025,12,Dec,Q4,Post-Harvest,1837,01/12/2025
Barley,Kapchorwa,Eastern,2024,1,Jan,Q1,Post-Harvest,1673,01/01/2024
Barley,Kapchorwa,Eastern,2024,2,Feb,Q1,Post-Harvest,1661,01/02/2024
Barley,Kapchorwa,Eastern,2024,3,Mar,Q1,Lean Season,1641,01/03/2024
Barley,Kapchorwa,Eastern,2024,4,Apr,Q2,Lean Season,1587,01/04/2024
Barley,Kapchorwa,Eastern,2024,5,May,Q2,Lean Season,1499,01/05/2024
Barley,Kapchorwa,Eastern,2024,6,Jun,Q2,Lean Season,1452,01/06/2024
Barley,Kapchorwa,Eastern,2024,7,Jul,Q3,Early Harvest,1499,01/07/2024
Barley,Kapchorwa,Eastern,2024,8,Aug,Q3,Early Harvest,1641,01/08/2024
Barley,Kapchorwa,Eastern,2024,9,Sep,Q3,Early Harvest,1710,01/09/2024
Barley,Kapchorwa,Eastern,2024,10,Oct,Q4,Peak Lean,1765,01/10/2024
Barley,Kapchorwa,Eastern,2024,11,Nov,Q4,Post-Harvest,1815,01/11/2024
Barley,Kapchorwa,Eastern,2024,12,Dec,Q4,Post-Harvest,1789,01/12/2024
Barley,Kapchorwa,Eastern,2025,1,Jan,Q1,Post-Harvest,1768,01/01/2025
Barley,Kapchorwa,Eastern,2025,2,Feb,Q1,Post-Harvest,1721,01/02/2025
Barley,Kapchorwa,Eastern,2025,3,Mar,Q1,Lean Season,1680,01/03/2025
Barley,Kapchorwa,Eastern,2025,4,Apr,Q2,Lean Season,1647,01/04/2025
Barley,Kapchorwa,Eastern,2025,5,May,Q2,Lean Season,1559,01/05/2025
Barley,Kapchorwa,Eastern,2025,6,Jun,Q2,Lean Season,1524,01/06/2025
Barley,Kapchorwa,Eastern,2025,7,Jul,Q3,Early Harvest,1600,01/07/2025
Barley,Kapchorwa,Eastern,2025,8,Aug,Q3,Early Harvest,1696,01/08/2025
Barley,Kapchorwa,Eastern,2025,9,Sep,Q3,Early Harvest,1793,01/09/2025
Barley,Kapchorwa,Eastern,2025,10,Oct,Q4,Peak Lean,1862,01/10/2025
Barley,Kapchorwa,Eastern,2025,11,Nov,Q4,Post-Harvest,1906,01/11/2025
Barley,Kapchorwa,Eastern,2025,12,Dec,Q4,Post-Harvest,1864,01/12/2025
Barley,Kigezi,Western,2024,1,Jan,Q1,Post-Harvest,1715,01/01/2024
Barley,Kigezi,Western,2024,2,Feb,Q1,Post-Harvest,1699,01/02/2024
Barley,Kigezi,Western,2024,3,Mar,Q1,Lean Season,1684,01/03/2024
Barley,Kigezi,Western,2024,4,Apr,Q2,Lean Season,1608,01/04/2024
Barley,Kigezi,Western,2024,5,May,Q2,Lean Season,1527,01/05/2024
Barley,Kigezi,Western,2024,6,Jun,Q2,Lean Season,1511,01/06/2024
Barley,Kigezi,Western,2024,7,Jul,Q3,Early Harvest,1589,01/07/2024
Barley,Kigezi,Western,2024,8,Aug,Q3,Early Harvest,1694,01/08/2024
Barley,Kigezi,Western,2024,9,Sep,Q3,Early Harvest,1755,01/09/2024
Barley,Kigezi,Western,2024,10,Oct,Q4,Peak Lean,1856,01/10/2024
Barley,Kigezi,Western,2024,11,Nov,Q4,Post-Harvest,1852,01/11/2024
Barley,Kigezi,Western,2024,12,Dec,Q4,Post-Harvest,1852,01/12/2024
Barley,Kigezi,Western,2025,1,Jan,Q1,Post-Harvest,1816,01/01/2025
Barley,Kigezi,Western,2025,2,Feb,Q1,Post-Harvest,1772,01/02/2025
Barley,Kigezi,Western,2025,3,Mar,Q1,Lean Season,1756,01/03/2025
Barley,Kigezi,Western,2025,4,Apr,Q2,Lean Season,1678,01/04/2025
Barley,Kigezi,Western,2025,5,May,Q2,Lean Season,1600,01/05/2025
Barley,Kigezi,Western,2025,6,Jun,Q2,Lean Season,1559,01/06/2025
Barley,Kigezi,Western,2025,7,Jul,Q3,Early Harvest,1653,01/07/2025
Barley,Kigezi,Western,2025,8,Aug,Q3,Early Harvest,1766,01/08/2025
Barley,Kigezi,Western,2025,9,Sep,Q3,Early Harvest,1835,01/09/2025
Barley,Kigezi,Western,2025,10,Oct,Q4,Peak Lean,1909,01/10/2025
Barley,Kigezi,Western,2025,11,Nov,Q4,Post-Harvest,1956,01/11/2025
Barley,Kigezi,Western,2025,12,Dec,Q4,Post-Harvest,1941,01/12/2025
Beans Nambaale,Alebtong,Northern,2024,1,Jan,Q1,Post-Harvest,2053,01/01/2024
Beans Nambaale,Alebtong,Northern,2024,2,Feb,Q1,Post-Harvest,2338,01/02/2024
Beans Nambaale,Alebtong,Northern,2024,3,Mar,Q1,Lean Season,2581,01/03/2024
Beans Nambaale,Alebtong,Northern,2024,4,Apr,Q2,Lean Season,2698,01/04/2024
Beans Nambaale,Alebtong,Northern,2024,5,May,Q2,Lean Season,2679,01/05/2024
Beans Nambaale,Alebtong,Northern,2024,6,Jun,Q2,Lean Season,2445,01/06/2024
Beans Nambaale,Alebtong,Northern,2024,7,Jul,Q3,Early Harvest,2053,01/07/2024
Beans Nambaale,Alebtong,Northern,2024,8,Aug,Q3,Early Harvest,1920,01/08/2024
Beans Nambaale,Alebtong,Northern,2024,9,Sep,Q3,Early Harvest,2217,01/09/2024
Beans Nambaale,Alebtong,Northern,2024,10,Oct,Q4,Peak Lean,2580,01/10/2024
Beans Nambaale,Alebtong,Northern,2024,11,Nov,Q4,Post-Harvest,2685,01/11/2024
Beans Nambaale,Alebtong,Northern,2024,12,Dec,Q4,Post-Harvest,2296,01/12/2024
Beans Nambaale,Alebtong,Northern,2025,1,Jan,Q1,Post-Harvest,2232,01/01/2025
Beans Nambaale,Alebtong,Northern,2025,2,Feb,Q1,Post-Harvest,2531,01/02/2025
Beans Nambaale,Alebtong,Northern,2025,3,Mar,Q1,Lean Season,2794,01/03/2025
Beans Nambaale,Alebtong,Northern,2025,4,Apr,Q2,Lean Season,2892,01/04/2025
Beans Nambaale,Alebtong,Northern,2025,5,May,Q2,Lean Season,2846,01/05/2025
Beans Nambaale,Alebtong,Northern,2025,6,Jun,Q2,Lean Season,2644,01/06/2025
Beans Nambaale,Alebtong,Northern,2025,7,Jul,Q3,Early Harvest,2199,01/07/2025
Beans Nambaale,Alebtong,Northern,2025,8,Aug,Q3,Early Harvest,2093,01/08/2025
Beans Nambaale,Alebtong,Northern,2025,9,Sep,Q3,Early Harvest,2400,01/09/2025
Beans Nambaale,Alebtong,Northern,2025,10,Oct,Q4,Peak Lean,2801,01/10/2025
Beans Nambaale,Alebtong,Northern,2025,11,Nov,Q4,Post-Harvest,2899,01/11/2025
Beans Nambaale,Alebtong,Northern,2025,12,Dec,Q4,Post-Harvest,2488,01/12/2025
Beans Nambaale,Busia,Eastern,2024,1,Jan,Q1,Post-Harvest,2321,01/01/2024
Beans Nambaale,Busia,Eastern,2024,2,Feb,Q1,Post-Harvest,2652,01/02/2024
Beans Nambaale,Busia,Eastern,2024,3,Mar,Q1,Lean Season,2960,01/03/2024
Beans Nambaale,Busia,Eastern,2024,4,Apr,Q2,Lean Season,3053,01/04/2024
Beans Nambaale,Busia,Eastern,2024,5,May,Q2,Lean Season,3004,01/05/2024
Beans Nambaale,Busia,Eastern,2024,6,Jun,Q2,Lean Season,2777,01/06/2024
Beans Nambaale,Busia,Eastern,2024,7,Jul,Q3,Early Harvest,2331,01/07/2024
Beans Nambaale,Busia,Eastern,2024,8,Aug,Q3,Early Harvest,2186,01/08/2024
Beans Nambaale,Busia,Eastern,2024,9,Sep,Q3,Early Harvest,2511,01/09/2024
Beans Nambaale,Busia,Eastern,2024,10,Oct,Q4,Peak Lean,2950,01/10/2024
Beans Nambaale,Busia,Eastern,2024,11,Nov,Q4,Post-Harvest,3037,01/11/2024
Beans Nambaale,Busia,Eastern,2024,12,Dec,Q4,Post-Harvest,2600,01/12/2024
Beans Nambaale,Busia,Eastern,2025,1,Jan,Q1,Post-Harvest,2574,01/01/2025
Beans Nambaale,Busia,Eastern,2025,2,Feb,Q1,Post-Harvest,2884,01/02/2025
Beans Nambaale,Busia,Eastern,2025,3,Mar,Q1,Lean Season,3185,01/03/2025
Beans Nambaale,Busia,Eastern,2025,4,Apr,Q2,Lean Season,3324,01/04/2025
Beans Nambaale,Busia,Eastern,2025,5,May,Q2,Lean Season,3199,01/05/2025
Beans Nambaale,Busia,Eastern,2025,6,Jun,Q2,Lean Season,3002,01/06/2025
Beans Nambaale,Busia,Eastern,2025,7,Jul,Q3,Early Harvest,2491,01/07/2025
Beans Nambaale,Busia,Eastern,2025,8,Aug,Q3,Early Harvest,2357,01/08/2025
Beans Nambaale,Busia,Eastern,2025,9,Sep,Q3,Early Harvest,2760,01/09/2025
Beans Nambaale,Busia,Eastern,2025,10,Oct,Q4,Peak Lean,3201,01/10/2025
Beans Nambaale,Busia,Eastern,2025,11,Nov,Q4,Post-Harvest,3311,01/11/2025
Beans Nambaale,Busia,Eastern,2025,12,Dec,Q4,Post-Harvest,2834,01/12/2025
Beans Nambaale,Bweyale,Northern,2024,1,Jan,Q1,Post-Harvest,2120,01/01/2024
Beans Nambaale,Bweyale,Northern,2024,2,Feb,Q1,Post-Harvest,2310,01/02/2024
Beans Nambaale,Bweyale,Northern,2024,3,Mar,Q1,Lean Season,2595,01/03/2024
Beans Nambaale,Bweyale,Northern,2024,4,Apr,Q2,Lean Season,2682,01/04/2024
Beans Nambaale,Bweyale,Northern,2024,5,May,Q2,Lean Season,2659,01/05/2024
Beans Nambaale,Bweyale,Northern,2024,6,Jun,Q2,Lean Season,2445,01/06/2024
Beans Nambaale,Bweyale,Northern,2024,7,Jul,Q3,Early Harvest,2087,01/07/2024
Beans Nambaale,Bweyale,Northern,2024,8,Aug,Q3,Early Harvest,1918,01/08/2024
Beans Nambaale,Bweyale,Northern,2024,9,Sep,Q3,Early Harvest,2248,01/09/2024
Beans Nambaale,Bweyale,Northern,2024,10,Oct,Q4,Peak Lean,2673,01/10/2024
Beans Nambaale,Bweyale,Northern,2024,11,Nov,Q4,Post-Harvest,2694,01/11/2024
Beans Nambaale,Bweyale,Northern,2024,12,Dec,Q4,Post-Harvest,2311,01/12/2024
Beans Nambaale,Bweyale,Northern,2025,1,Jan,Q1,Post-Harvest,2256,01/01/2025
Beans Nambaale,Bweyale,Northern,2025,2,Feb,Q1,Post-Harvest,2535,01/02/2025
Beans Nambaale,Bweyale,Northern,2025,3,Mar,Q1,Lean Season,2864,01/03/2025
Beans Nambaale,Bweyale,Northern,2025,4,Apr,Q2,Lean Season,2928,01/04/2025
Beans Nambaale,Bweyale,Northern,2025,5,May,Q2,Lean Season,2889,01/05/2025
Beans Nambaale,Bweyale,Northern,2025,6,Jun,Q2,Lean Season,2672,01/06/2025
Beans Nambaale,Bweyale,Northern,2025,7,Jul,Q3,Early Harvest,2210,01/07/2025
Beans Nambaale,Bweyale,Northern,2025,8,Aug,Q3,Early Harvest,2101,01/08/2025
Beans Nambaale,Bweyale,Northern,2025,9,Sep,Q3,Early Harvest,2450,01/09/2025
Beans Nambaale,Bweyale,Northern,2025,10,Oct,Q4,Peak Lean,2797,01/10/2025
Beans Nambaale,Bweyale,Northern,2025,11,Nov,Q4,Post-Harvest,2951,01/11/2025
Beans Nambaale,Bweyale,Northern,2025,12,Dec,Q4,Post-Harvest,2501,01/12/2025
Beans Nambaale,Gomba,Central,2024,1,Jan,Q1,Post-Harvest,2233,01/01/2024
Beans Nambaale,Gomba,Central,2024,2,Feb,Q1,Post-Harvest,2505,01/02/2024
Beans Nambaale,Gomba,Central,2024,3,Mar,Q1,Lean Season,2804,01/03/2024
Beans Nambaale,Gomba,Central,2024,4,Apr,Q2,Lean Season,2875,01/04/2024
Beans Nambaale,Gomba,Central,2024,5,May,Q2,Lean Season,2809,01/05/2024
Beans Nambaale,Gomba,Central,2024,6,Jun,Q2,Lean Season,2626,01/06/2024
Beans Nambaale,Gomba,Central,2024,7,Jul,Q3,Early Harvest,2210,01/07/2024
Beans Nambaale,Gomba,Central,2024,8,Aug,Q3,Early Harvest,2068,01/08/2024
Beans Nambaale,Gomba,Central,2024,9,Sep,Q3,Early Harvest,2368,01/09/2024
Beans Nambaale,Gomba,Central,2024,10,Oct,Q4,Peak Lean,2768,01/10/2024
Beans Nambaale,Gomba,Central,2024,11,Nov,Q4,Post-Harvest,2877,01/11/2024
Beans Nambaale,Gomba,Central,2024,12,Dec,Q4,Post-Harvest,2416,01/12/2024
Beans Nambaale,Gomba,Central,2025,1,Jan,Q1,Post-Harvest,2381,01/01/2025
Beans Nambaale,Gomba,Central,2025,2,Feb,Q1,Post-Harvest,2672,01/02/2025
Beans Nambaale,Gomba,Central,2025,3,Mar,Q1,Lean Season,3008,01/03/2025
Beans Nambaale,Gomba,Central,2025,4,Apr,Q2,Lean Season,3092,01/04/2025
Beans Nambaale,Gomba,Central,2025,5,May,Q2,Lean Season,3110,01/05/2025
Beans Nambaale,Gomba,Central,2025,6,Jun,Q2,Lean Season,2853,01/06/2025
Beans Nambaale,Gomba,Central,2025,7,Jul,Q3,Early Harvest,2358,01/07/2025
Beans Nambaale,Gomba,Central,2025,8,Aug,Q3,Early Harvest,2198,01/08/2025
Beans Nambaale,Gomba,Central,2025,9,Sep,Q3,Early Harvest,2586,01/09/2025
Beans Nambaale,Gomba,Central,2025,10,Oct,Q4,Peak Lean,3029,01/10/2025
Beans Nambaale,Gomba,Central,2025,11,Nov,Q4,Post-Harvest,3067,01/11/2025
Beans Nambaale,Gomba,Central,2025,12,Dec,Q4,Post-Harvest,2648,01/12/2025
Beans Nambaale,Gulu,Northern,2024,1,Jan,Q1,Post-Harvest,2191,01/01/2024
Beans Nambaale,Gulu,Northern,2024,2,Feb,Q1,Post-Harvest,2492,01/02/2024
Beans Nambaale,Gulu,Northern,2024,3,Mar,Q1,Lean Season,2845,01/03/2024
Beans Nambaale,Gulu,Northern,2024,4,Apr,Q2,Lean Season,3009,01/04/2024
Beans Nambaale,Gulu,Northern,2024,5,May,Q2,Lean Season,2901,01/05/2024
Beans Nambaale,Gulu,Northern,2024,6,Jun,Q2,Lean Season,2695,01/06/2024
Beans Nambaale,Gulu,Northern,2024,7,Jul,Q3,Early Harvest,2217,01/07/2024
Beans Nambaale,Gulu,Northern,2024,8,Aug,Q3,Early Harvest,2113,01/08/2024
Beans Nambaale,Gulu,Northern,2024,9,Sep,Q3,Early Harvest,2419,01/09/2024
Beans Nambaale,Gulu,Northern,2024,10,Oct,Q4,Peak Lean,2844,01/10/2024
Beans Nambaale,Gulu,Northern,2024,11,Nov,Q4,Post-Harvest,2981,01/11/2024
Beans Nambaale,Gulu,Northern,2024,12,Dec,Q4,Post-Harvest,2437,01/12/2024
Beans Nambaale,Gulu,Northern,2025,1,Jan,Q1,Post-Harvest,2418,01/01/2025
Beans Nambaale,Gulu,Northern,2025,2,Feb,Q1,Post-Harvest,2740,01/02/2025
Beans Nambaale,Gulu,Northern,2025,3,Mar,Q1,Lean Season,3043,01/03/2025
Beans Nambaale,Gulu,Northern,2025,4,Apr,Q2,Lean Season,3191,01/04/2025
Beans Nambaale,Gulu,Northern,2025,5,May,Q2,Lean Season,3114,01/05/2025
Beans Nambaale,Gulu,Northern,2025,6,Jun,Q2,Lean Season,2879,01/06/2025
Beans Nambaale,Gulu,Northern,2025,7,Jul,Q3,Early Harvest,2426,01/07/2025
Beans Nambaale,Gulu,Northern,2025,8,Aug,Q3,Early Harvest,2236,01/08/2025
Beans Nambaale,Gulu,Northern,2025,9,Sep,Q3,Early Harvest,2583,01/09/2025
Beans Nambaale,Gulu,Northern,2025,10,Oct,Q4,Peak Lean,3110,01/10/2025
Beans Nambaale,Gulu,Northern,2025,11,Nov,Q4,Post-Harvest,3121,01/11/2025
Beans Nambaale,Gulu,Northern,2025,12,Dec,Q4,Post-Harvest,2657,01/12/2025
Beans Nambaale,Hoima,Western,2024,1,Jan,Q1,Post-Harvest,2429,01/01/2024
Beans Nambaale,Hoima,Western,2024,2,Feb,Q1,Post-Harvest,2707,01/02/2024
Beans Nambaale,Hoima,Western,2024,3,Mar,Q1,Lean Season,3041,01/03/2024
Beans Nambaale,Hoima,Western,2024,4,Apr,Q2,Lean Season,3150,01/04/2024
Beans Nambaale,Hoima,Western,2024,5,May,Q2,Lean Season,3113,01/05/2024
Beans Nambaale,Hoima,Western,2024,6,Jun,Q2,Lean Season,2934,01/06/2024
Beans Nambaale,Hoima,Western,2024,7,Jul,Q3,Early Harvest,2424,01/07/2024
Beans Nambaale,Hoima,Western,2024,8,Aug,Q3,Early Harvest,2244,01/08/2024
Beans Nambaale,Hoima,Western,2024,9,Sep,Q3,Early Harvest,2612,01/09/2024
